EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Frässystem liefern und montieren;;
;- Frässystem mit 10 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm;;
H54NO010001;Frässystem;€/m²;49,8
;;;
Untertitel;Baustelleneinrichtung (Frässystem);;
H54NO600001;Einrichtung der Baustelle;€/Einsatz;292,5
;;;
Untertitel;Mehrpreis Etagenzuschuss (Frässystem);;
;-gilt nicht fürs Erdgeschoss;;
H54NO600501;Etagenzuschuss;€ pauschal;111,2
;;;
Untertitel;Entsorgungspauschale (Frässystem);;
H54NO601001;Entsorgung Bauschutt;€ pauschal;345,2
;;;
Untertitel;Versiegelungspauschale (Frässystem);;
;Unterboden mit einem Dispersionsvorstrich grundieren, sowie Fräskanäle mit standfester Spachtelmasse vollständig schließ;;
H54NO601501;Versiegelungspauschale (Frässystem);€/m²;16
;;;
Zwischentitel;Bitte beachten Sie auch, dass auf dem versiegelten Boden eine Ausgleichsmasse für einen neuen Bodenbelag aufgebracht werden muss. Gerne macht Ihnen unser Dienstleister hierfür und auch für den Bodenbelag ein entsprechendes Angebot. Alles aus einer Hand!;;
